SMILES,tg,src
C=Cc1ccccc1,367.0879271584108,"['https://www.polymerdatabase.com/polymers/polystyrene.html', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', '10.1021/acs.macromol.5b02326', '10.1021/ma070378i', '10.1021/ma060977%2B', '10.1021/ma801742p', '10.1021/ma060352b', '10.1021/ma8009454', '10.1021/ma061839n', '10.1021/acs.macromol.5b02253', '10.1021/acs.macromol.5b02474', '10.1021/ma0617421', '10.1021/ma052625t', '10.1021/ma061659d', '10.1021/ma071759z', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
C=C(C)C(=O)OC,375.8393674402881,"['https://www.polymerdatabase.com/polymers/polymethylmethacrylate.html', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', '10.1021/ma400686j', '10.1021/ma300291q', '10.1021/ma300644v', '10.1021/ma702714c', '10.1021/ma800237x', '10.1021/ma101217y', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
O=C1CCCCCO1,253.59622164852564,"['https://www.polymerdatabase.com/polymers/polycaprolactone.html', '10.1021/ma802618h', '10.1021/ma101945f', '10.1021/ma9011076', '10.1021/ma300291q', '10.1021/ma9000622', '10.1021/ma0712394', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
O=C1OCCOC(=O)c2ccc1cc2,346.98807978189944,"['Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', '10.1021/ma702554t', '10.1021/ma7027616', '10.1021/ma9005318', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
C=C,219.99969802640985,"['https://www.polymerdatabase.com/polymers/polyethylene.html', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', '10.1021/ma0627774', '10.1021/ma800616h', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
C=C(C)C(=O)OCCCC,294.32230616732795,"['https://www.polymerdatabase.com/polymers/polybutylmethacrylate.html', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', '10.1021/acs.macromol.5b00299', '10.1021/ma401536r', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
C=C(C)C,198.3780338215364,"['https://www.polymerdatabase.com/polymers/polyisobutene.html', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', '10.1021/ma801465r', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
C=CC(=O)O,377.795000450356,"['https://www.polymerdatabase.com/polymers/polyacrylicacid.html', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', '10.1021/acs.macromol.5b02178', '10.1021/ma070893g', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
C=C(C)C(=O)OCCCCCC,264.5338836970414,"['https://www.polymerdatabase.com/polymers/polyhexylmethacrylate.html', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', '10.1021/ma401536r', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
C=CC(=O)OCC,250.79968051087656,"['https://www.polymerdatabase.com/polymers/polyethylacrylate.html', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', '10.1021/ma300644v', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
C=COC(C)=O,313.5393764724487,"['https://www.polymerdatabase.com/polymers/polyvinylacetate.html', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', '10.1021/ma4008187', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
C=C(C)C(=O)OCCO,367.157323228068,"['https://www.polymerdatabase.com/polymers/Poly2-hydroxyethyl-2-methylpropenoate.html', 'https://www.polymerdatabase.com/polymers/Poly2-hydroxyethyl-2-methylpropenoate.html', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
C=CCC(C)C,302.0,"['https://www.polymerdatabase.com/polymers/polyisobutylethylene.html', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
C=Cc1cccc(C)c1,370.9959713235618,"['https://www.polymerdatabase.com/polymers/poly3-methylstyrene.html', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
C=C(C)C(=O)OCC,327.4446753955217,"['https://www.polymerdatabase.com/polymers/polyethylmethacrylate.html', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
C=C(C)C(=O)OCC(C)O,349.0,"['https://www.polymerdatabase.com/polymers/Poly2-hydroxypropylmethacrylate.html', 'https://www.polymerdatabase.com/polymers/Poly2-hydroxypropylmethacrylate.html', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
C=Cc1ccc(Cl)cc1,391.2307381335643,"['https://www.polymerdatabase.com/polymers/poly4-chlorostyrene.html', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
C=C(C)C(=O)OCCC,310.71391859281016,"['https://www.polymerdatabase.com/polymers/polypropylmethacrylate.html', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
C=C(C)c1ccccc1,353.7886301325516,"['https://www.polymerdatabase.com/polymers/polya-methylstyrene.html', '10.1021/ma801465r', '10.1021/acs.macromol.5b02642', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
C=CC#N,382.9514612314859,"['https://www.polymerdatabase.com/polymers/polyacrylonitrile.html', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', '10.1021/ma901336q', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
C=Cc1ccccc1C,409.0,"['https://www.polymerdatabase.com/polymers/poly2-methylstyrene.html', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
C=C(C)C(=O)OCCCCCCCC,246.5040747529995,"['https://www.polymerdatabase.com/polymers/polyoctylmethacrylate.html', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
C=CC1CCCCC1,397.6490423342981,"['https://www.polymerdatabase.com/polymers/polycyclohexylethylene.html', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', '10.1021/acs.macromol.5b02642', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
C=Cc1ccc(C(C)(C)C)cc1,402.0,"['https://www.polymerdatabase.com/polymers/poly4-tert-butylstyrene.html', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
C=C(F)F,235.2181241963242,"['https://www.polymerdatabase.com/polymers/polyvinylidenefluoride.html', 'Prediction of Polymer Properties 3rd edition by Jozef Bicerano', '10.1021/ma061554a', 'https://pubs.acs.org/doi/full/10.1021/ci010062o']"
C[Si](C)[O],148.98321932209242,"['Prediction of Polymer Properties 3rd edition by Jozef Bicerano', '10.1021/ma052275a', '10.1021/ma8006015', '10.1021/ma070671i']"
