SMILES,true,predicted
C=C(C)C,198.37803649902344,294.6453857421875
C=C(C)C(=O)OCCCCCC,264.53387451171875,243.95896911621094
C=CCC(C)C,302.0,266.5824890136719
C=C(C)C(=O)OCC,327.4446716308594,336.89581298828125
C=C(C)C(=O)OCC(C)O,349.0,309.7245788574219
CC1CO1,205.66612243652344,232.55264282226562
C=Cc1cc(F)ccc1F,374.0,354.8251647949219
C=Cc1ccc(Br)cc1,414.9903259277344,363.60546875
CCCCOCC1CO1,194.0,217.9667510986328
C=C(Cl)Cl,260.5841064453125,294.1465148925781
C=CCl,352.7677307128906,238.55319213867188
[CH2]C[O],230.87530517578125,186.49961853027344
C=C(C)C(=O)OCCCCCCCCCCCC,218.0,233.660888671875
C=COCC,254.0,220.14157104492188
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1.O=C(O)O,423.0,408.56500244140625
C=COC,250.8923797607422,257.40478515625
Cc1c[c]cc(C)c1[O],482.0,311.8166809082031
C=CCCCCC,223.60719299316406,217.48831176757812
C=CCCCC,223.0,215.2954864501953
O=C1CCC(=O)OCCO1,272.0,249.48167419433594
O=C1CCCCC(=O)OCCCCCCCCCCO1,217.0,212.39877319335938
[CH2]CCCCC[O],204.0,210.93820190429688
C=CC(=O)OCCCCCCCCC,215.0,206.9788360595703
[CH2]CC(C)CCC([O])=O,220.0,237.1900634765625
C=CC(F)(F)F,300.0,292.24261474609375
C=Cc1ccc(C(C)C)cc1,360.0,363.20098876953125
[CH2]c1ccc([CH2])c(C#N)c1,363.0,298.02618408203125
C=Cc1ccc(CO)cc1,413.0,350.955078125
C=Cc1c(F)c(F)c(F)c(F)c1F,378.0,347.3290710449219
C=Cc1cc(C)ccc1F,384.0,373.43829345703125
C=Cc1ccc(C)cc1C,385.0,390.5521240234375
C=Cc1ccc(C(=O)OC)cc1,386.0,380.57733154296875
C=Cc1cc(Cl)ccc1Cl,393.0,402.7012023925781
C=Cc1ccc(Cl)c(F)c1,395.0,389.6867370605469
[CH2]c1ccc([CH2])c(Br)c1,353.0,317.5476379394531
C=Cc1ccc(COC)cc1,350.0,317.4915771484375
C=CCCC1CCCCC1,313.0,322.709716796875
C=CC(F)(F)C(F)(F)F,314.0,316.98388671875
[CH2]c1ccc([CH2])c(C)c1,328.0,308.2979736328125
[CH2]c1ccc([CH2])cc1,333.0,296.1806640625
O=C(O)CCCCC(=O)O.OCCCCO,202.0,212.92013549804688
O=C(O)CCC(=O)O.OCCCCO,239.99166870117188,216.15728759765625
O=C(O)CCCCC(=O)O.OCCCO,215.0,216.19558715820312
O=C(O)CCC(=O)O.OCCO,267.0,223.99874877929688
