SMILES,true,predicted
*C*,-54.0,-0.477691650390625
*CC(*)(C)C,-72.0,97.08349609375
*CC(*)CCCCCCCCCCCC,10.0,-24.56231689453125
*/C=C/CC*,-91.0,-15.257980346679688
*CCC(C)C(*)C,-26.0,68.64099884033203
*/C=C/*,-4.0,-8.94708251953125
*CC(*)c1ccccc1COC,89.0,89.81291198730469
*CC(*)c1ccccc1C(=O)OCC(C)C,127.0,98.718505859375
*CC(*)c1ccccc1Cl,119.0,134.85125732421875
*CC(*)c1ccc(CCCCCCCCC)cc1,-53.0,33.05012512207031
*CC(*)c1ccc(CCCCCCCCCCCCCCCCCC)cc1,32.0,8.257980346679688
*CC(*)c1ccc(Cl)cc1,124.0,134.453125
*CC(*)c1ccc(Br)cc1,132.0,134.8155059814453
*CC(*)c1ccc(C(C)(O)CC)cc1,190.0,136.23306274414062
*CC(*)c1ccc(C(C)(O)CCCC)cc1,90.0,114.14877319335938
*CC(*)c1ccc(COCCCC)cc1,10.0,44.699920654296875
*CC(*)c1ccc(COCCOCCCC)cc1,-38.0,24.588302612304688
*CC(*)c1ccc(C(=O)N2CCCCC2)cc1,114.0,103.33610534667969
*CC(*)c1ccc(C(=O)OC)cc1,122.0,122.40187072753906
*CC(*)c1ccc(C(=O)CC)cc1,102.0,122.79428100585938
*CC(*)c1ccc(C(=O)CCCCC)cc1,66.0,79.95947265625
*CC(*)c1ccc(C(=O)c2ccccc2)cc1,98.0,153.66921997070312
*CC(*)c1ccc(F)cc1,95.0,114.9842758178711
*CC(*)c1ccc(OCC)cc1,86.0,90.98441314697266
*CC(*)c1ccc(OCCC)cc1,70.0,74.36695861816406
*CC(*)c1ccc(OCCCC)cc1,52.0,61.32765197753906
*CC(*)c1ccc([Si](C)(C)C)cc1,136.0,106.35964965820312
*CC(*)c1ccc(C)cc1C,112.0,138.84182739257812
*CC(*)c1cc(C)cc(C)c1,112.0,138.60491943359375
*CC(*)c1ccc(C)c(C)c1,111.0,138.58462524414062
*CC(*)c1c(C)cc(C)cc1C,126.0,147.052978515625
*C(F)(F)C(*)(F)c1ccccc1,206.0,140.6829376220703
*C(F)(F)C(*)(F)c1c(F)c(F)c(F)c(F)c1F,194.0,171.82838439941406
*CC(*)c1ccc(C(C)=O)cc1,115.5,144.70310974121094
*CC(*)c1ccc(C(=O)C(F)(F)F)cc1,95.0,133.73902893066406
*CC(*)c1ccc(COCC(CC)CCCC)cc1,-23.0,35.69956970214844
*CC(*)c1ccc(COCCOCCCCCCCC)cc1,-42.0,12.646438598632812
*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],97.0,194.6162109375
*CC(*)OCCCCC,-66.0,-21.2857666015625
*CC(*)OCCCCCCCCCC,-62.0,-30.0572509765625
*CC(*)OC(=O)c1ccccc1,70.4000015258789,95.45692443847656
*/C=C/C(C)C(*)C(=O)OC,53.0,96.05272674560547
*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1,-73.0,83.24687194824219
*CC(*)OC(C)C,-7.5,54.77729034423828
*CC(*)(C)OC,67.0,44.656471252441406
*CC(*)Cc1ccccc1C,80.0,99.63645935058594
*CC(*)SCC,-7.0,-3.5614013671875
*C(OC(F)(F)F)C(*)(F)F,-10.0,100.95986938476562
*CC(*)C(=O)c1ccc(C)c(C)c1,42.0,143.9633331298828
*CC(*)C(=O)c1ccc(CCC)cc1,44.0,105.0035400390625
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,27.0,42.95465087890625
*CC(*)OC(=O)c1ccccc1C,42.5,104.83663940429688
*CC(*)OC(=O)c1ccc([Si](C)(C)C)cc1,130.5,86.6473617553711
*CC(*)P(=O)(c1ccccc1)c1ccccc1,127.5,111.02363586425781
*C1Cc2ccccc2C1*,188.5,177.45350646972656
*CCC/C=C(/*)c1ccccc1,0.0,87.8798828125
*CC(*)CNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],160.0,144.6293182373047
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,14.5,56.14936065673828
*CC(*)C(=O)OCC,-20.0,43.89002227783203
*CC(*)C(=O)OCCC,-38.5,19.752700805664062
*CC(*)C(=O)OCC(F)(F)F,3.0999999046325684,62.23798370361328
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-39.0,32.660423278808594
*CC(*)C(=O)OCCOC,-34.0,2.47998046875
*CC(*)C(=O)OCCOCC,-50.0,-8.254623413085938
*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,-68.0,33.013916015625
*CC(*)(C)C(=O)OC1CC(C)CC(C)(C)C1,125.0,95.61141967773438
*CC(*)(C)C(=O)OCCc1ccccc1,49.0,63.69573974609375
*CC(*)(C)C(=O)OCCF,90.0,58.207298278808594
*CC(*)(C)C(=O)OCCCl,63.0,56.02899932861328
*CC(*)(C)C(=O)OCc1ccco1,111.0,56.61511993408203
*CC(*)C(=O)OC1CCCCC1,25.0,55.45423126220703
*CC(*)(C#N)C(=O)OC,147.5,104.40263366699219
*CC(*)C(=O)OCF,15.0,34.290985107421875
*CC(*)C(=O)OCCCCSC,-70.0,-11.892974853515625
*CC(*)C(=O)OCCSCCC#N,-50.0,-11.25531005859375
*CC(*)C(=O)Oc1ccc(C)cc1,42.5,100.15032958984375
*CC(*)C(=O)Oc1ccccc1C(=O)OCC,30.0,77.75839233398438
*CC(*)C(=O)Oc1cccc(N(C)C)c1,47.0,109.58525085449219
*CC(*)C(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,145.0,170.5183868408203
*CC(*)(C)C(=O)OCCC(C)(C)C,45.0,63.776039123535156
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,47.0,38.67530059814453
*CC(*)(C)C(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,49.0,39.168174743652344
*CC(*)(C)C(=O)OCC1(C)COCOC1,142.0,32.84838104248047
*CC(*)(C)C(=O)OCC1(C)COC(C)(C)OC1,108.0,50.56047821044922
*CC(*)(C)C(=O)OCC(C)(C)C1OCC(C)(C)CO1,118.0,43.06059265136719
*CC(*)(C#N)C(=O)OCCCC,117.0,58.2799072265625
*CC(*)(CC(=O)OCc1ccccc1)C(=O)OCc1ccccc1,55.0,47.76123809814453
*CC(*)C(=O)Oc1ccc(Cl)cc1,330.0,104.62358093261719
*CC(*)(C)C(=O)OC1CCC(C(C)(C)C)CC1,100.0,86.69607543945312
*CC(*)C(=O)Oc1ccc(C(=O)O)cc1,125.0,118.55146789550781
*CC(*)(CC(=O)OCCCCC)C(=O)OCCCCC,2.0,9.956558227539062
*CC(*)(C#N)C(=O)OCC,115.0,85.92399597167969
*CC(*)(C)C(=O)OCCN(CC)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,126.0,99.19975280761719
*CC(*)(C)C(=O)NC(=O)Oc1c(Br)cc(S(=O)(=O)c2cc(Br)c(O)c(Br)c2)cc1Br,116.0,214.92587280273438
*CC(*)C(=O)OCCCOc1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,45.599998474121094,64.4315414428711
*CC(*)C(=O)OCCCCOc1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,36.70000076293945,55.87708282470703
*CC(*)(C)C(=O)OCC#C,58.0,71.37464904785156
*CC(*)(C#N)C(=O)OC(C)C,66.0,101.80661010742188
*CC(*)(F)F,-34.400001525878906,80.68803405761719
*CC(*)C(F)(F)F,29.5,91.9404296875
*/C(F)=C(\F)C(F)(C(*)(F)F)C(F)(F)F,-3.0,107.1806640625
*C(*)(F)Cl,77.0,131.6226043701172
*CCC(Cl)C(*)Cl,70.0,84.19369506835938
*CO*,-71.0,-27.112655639648438
*OC(*)C,-19.5,12.642608642578125
*CC(O*)C(C)(C)C,41.0,79.99612426757812
*CC(COCC=C)O*,-75.5,-10.985305786132812
*CC(CCCCCC)O*,-67.0,-19.030929565429688
*CC(CO)(CO)CO*,99.0,76.47162628173828
*Oc1c(C)cc(*)cc1C(C)CCCC,85.0,109.13035583496094
*CCCCSSCCCCOCO*,-76.0,-69.38082885742188
*CCSSCCOCO*,-57.5,-64.9635009765625
*C(=O)OCCOC(=O)c1ccc(*)o1,88.94999694824219,65.28433990478516
*CCCCOc1ccc(C(=O)OCCOC(=O)c2ccc(O*)cc2)cc1,53.0,33.786964416503906
