"chemical","error","Stat_Pt","Jobs","imag","HF","Gibbs","Enthalpy","Etherm","Cv","S","qp","alpha_avg","quad_avg"
"Nylon_66_1M",NA,"Yes",4,0,"-731.6918198","-731.386995","-731.311772",237.891,69.382,158.32,0.358522,147.104333333333,-98.4795333333333
"PE_2M",NA,"Yes",4,0,"-79.8304209","-79.778289","-79.750765",49.393,9.987,57.929,0.011377,22.921,-14.8860666666667
"PET_1M",NA,"Yes",4,0,"-688.0078333","-687.861451","-687.806690",125.627,47.575,115.254,0.358999,115.552233333333,-80.8438333333333
"Ploy_1_Butene_1M",NA,"Yes",4,0,"-157.2210723","-157.139544","-157.105864",71.702,17.642,70.886,0.148175,42.4394333333333,-26.8737333333333
"Poly_12_Butadiene_1M",NA,"Yes",4,0,"-157.2210724","-157.139544","-157.105863",71.703,17.642,70.889,0.14606,42.4395666666667,-26.8758666666667
"Poly_Chloroprene_1M",NA,"Yes",4,0,"-616.826249","-616.756744","-616.719331",66.499,21.539,78.741,-Inf,53.0217666666667,-38.4694666666667
"Poly_Isoprene_1M",NA,"Yes",4,0,"-196.5435775","-196.436481","-196.398936",90.172,23.656,79.021,0.121836,54.5661333333333,-32.6811333333333
"Poly_pmethyl_Styrene_1M",NA,"Yes",4,0,"-350.1981147","-350.048671","-350.003070",121.8,33.859,95.977,0.113128,91.2222666666667,-53.2075
"PP_1M",NA,"Yes",4,0,"-119.1442433","-119.065765","-119.034665",68.169,14.664,65.455,0.047306,33.4557,-21.5400666666667
"PS_1M",NA,"Yes",4,0,"-310.8802263","-310.755058","-310.714585",103.349,27.818,85.183,0.104638,78.1112666666667,-47.5931
"PVC_1M",NA,"Yes",4,0,"-539.4262589","-539.385365","-539.354170",44.644,12.418,65.655,-Inf,31.4259,-29.0120333333333
