"chemical","error","Stat_Pt","Jobs","imag","HF","Gibbs_Gas","Gibbs_Water","Gibbs_Oct","Enthalpy_Gas","Enthalpy_Water","Enthalpy_Oct","Volume","Radius","Etherm","Cv","S","qp","qm","alpha_avg","quad_avg","log_Kow","kow_vol","kow_rad"
"poly_1_2_butadiene_3M",NA,"Yes",8,0,"-469.256022",-469.010179,-469.006259,-469.016847,-468.950537,-468.947282,-468.958013,147.937,9.03,191.102,54.031,125.526,0.142042,-0.373298,125.637,-74.5648666666667,4.86587578028773,0.0328915401845903,0.538856675557889
"poly_1_butene_3M",NA,"Yes",8,0,"-472.9595173",-472.64265,-472.636142,-472.650465,-472.580709,-472.575187,-472.588365,190.711,9.74,237.113,59.194,130.366,0.067195,-0.300605,128.691,-81.9020666666667,6.58235160569679,0.0345147978129043,0.675806119681395
"poly_1_hexene_3M","DNF","Yes",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_1_pentene_3M",NA,"Yes",8,0,"-590.8999522",-590.504236,-590.496038,-590.513061,-590.431445,-590.425189,-590.441428,216.9,10.13,293.4,73.755,153.2,0.087784,-0.341484,160.774666666667,-102.2252,7.82317750358285,0.0360681304913917,0.772278134608376
"poly_2_3_3_3_tetrafluoropropylene_3M",NA,"Yes",8,0,"-1545.8768085",-1545.745779,-1545.745079,-1545.755132,-1545.673451,-1545.673815,-1545.683288,167.991,9.38,127.016,73.518,152.227,0.142541,-0.369098,96.496,-117.2598,4.62000842644154,0.0275015234532894,0.492538211774152
"poly_2_heptyl_acrylate_3M","DNF","Yes",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_2_octyl_acrylate_3M","DNF","Yes",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_3_cyclopentyl_1_propene_3M","DNF","Yes",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_3_methyl_1_butene_3M",NA,"Yes",8,0,"-590.8900884",-590.492032,-590.484489,-590.498982,-590.422301,-590.415989,-590.430403,200.507,9.89,292.948,75.413,146.76,0.089107,-0.391363,159.477666666667,-101.815766666667,6.66047768070824,0.033218180316439,0.673455781669185
"poly_4_cyclohexyl_1_butene_3M","DNF","Yes",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_acrylonitrile_3M",NA,"Yes",8,0,"-513.7952288",-513.64924,-513.667762,-513.670253,-513.594088,-513.612772,-513.615343,128.264,8.65,125.625,45.695,116.077,0.086533,-0.445875,99.2656666666667,-73.0096666666667,1.14477678206816,0.00892516046644544,0.132344136655278
"poly_butylene_succinate_3M","DNF","Yes",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_chloroprene_3M",NA,"Yes",8,0,"-1848.064613",-1847.853683,-1847.859254,-1847.871295,-1847.782418,-1847.786717,-1847.800529,191.097,9.75,176.487,64.196,149.99,0.121666,-0.328052,164.026,-114.209066666667,5.53362393939429,0.0289571471001339,0.567551173271209
"poly_dodecyl_methacrylate_3M","502",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_ethyl_acrylate_3M","DNF","Yes",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_ethyl_methacrylate_3M","DNF","Yes",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
