"chemical","error","Stat_Pt","Jobs","imag","HF","Gibbs_Gas","Gibbs_Water","Gibbs_Oct","Enthalpy_Gas","Enthalpy_Water","Enthalpy_Oct","Volume","Radius","Etherm","Cv","S","qp","qm","alpha_avg","quad_avg","log_Kow","kow_vol","kow_rad"
"poly_1_hexene_3M_total",NA,"Yes",8,0,"-708.838039",-708.362193,-708.353149,-708.373016,-708.279204,-708.272659,-708.291544,256.087,10.65,350.082,87.974,174.665,0.061451,-0.294674,192.801666666667,-122.295233333333,9.13018078267906,0.0356526523512676,0.857293970204606
"poly_2_heptyl_acrylate_3M_total","DNF","Yes",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_2_octyl_acrylate_3M_total","DNF","Yes",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_3_cyclopentyl_1_propene_3M_total","DNF","Yes",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_4_cyclohexyl_1_butene_3M_total","DNF","Yes",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_butylene_succinate_3M_total","DNF","Yes",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_dodecyl_methacrylate_3M_total",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_ethyl_acrylate_3M_total",NA,"Yes",8,0,"-1038.6571398",-1038.310453,-1038.323277,-1038.331175,-1038.224495,-1038.241382,-1038.24638,229.595,10.3,270.896,87.505,180.912,0.089418,-0.51367,172.678,-117.783466666667,3.62964553391596,0.0158089049583656,0.352392770283103
"poly_ethyl_methacrylate_3M_total",NA,"Yes",8,0,"-1156.5839305",-1156.154143,-1156.165594,-1156.174066,-1156.062741,-1156.076494,-1156.084779,285.868,11.01,326.459,104.748,192.37,0.091098,-0.528662,202.907666666667,-132.644766666667,3.89343592846411,0.0136196983519111,0.353627241459048
"poly_ethylene_terephthalate_3M_total",NA,"Yes",8,0,"-2061.6292649",-2061.187672,-2061.219393,-2061.2216,-2061.065033,-2061.098746,-2061.102697,353.66,11.75,353.469,142.491,258.117,0.361729,-0.51421,368.806333333333,-217.8075,1.01426028023269,0.00286789651143102,0.0863200238495909
"poly_heptafluoropropyl_ethylene_3M_total","DNF","Yes",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_hexafluoropropylene_3M_total",NA,"Yes",8,0,"-2141.2336002",-2141.15523,-2141.147054,-2141.157306,-2141.074735,-2141.066459,-2141.076978,161.663,9.27,99.097,88.782,169.418,0.139947,-0.174141,99.2616666666667,-141.515766666667,4.71146189079741,0.0291437242337295,0.508248316159375
"poly_isobutyl_acrylate_3M_total","DNF","Yes",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_isobutyl_methacrylate_3M_total","DNF","Yes",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_isopropyl_methacrylate_3M_total","DNF","Yes",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_methyl_methacrylate_3M_total",NA,"Yes",8,0,"-1038.6268602",-1038.277193,-1038.28861,-1038.292675,-1038.195173,-1038.209674,-1038.213633,200.086,9.88,270.296,90.236,172.627,0.099766,-0.534624,171.282,-111.5478,1.86813232396991,0.00933664686169902,0.189082219025295
"poly_n_butyl_acrylamide_3M_total","DNF","Yes",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_n_butyl_acrylate_3M_total",NA,"Yes",8,0,"-1274.5404461",-1274.032538,-1274.043272,-1274.055807,-1273.927489,-1273.940595,-1273.952493,329.253,11.5,384.044,116.202,221.094,0.089409,-0.560775,237.575333333333,-155.5747,5.76064912224611,0.0174961173390861,0.500926010630097
"poly_n_butyl_ether_3M_total",NA,"Yes",8,0,"-934.4709076",-933.989202,-933.990643,-934.006774,-933.895681,-933.900603,-933.915825,282.332,10.97,360.368,98.071,196.832,0.102535,-0.470433,207.194666666667,-128.936433333333,7.4132453921238,0.0262571915054751,0.675774420430611
"poly_n_heptyl_acrylate_3M_total","DNF","Yes",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_n_hexyl_acrylate_3M_total","DNF","Yes",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_n_nonyl_acrylate_3M_total","DNF","Yes",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_n_octyl_acrylate_3M_total","DNF","Yes",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_n_octyl_methacrylate_3M_total","DNF","Yes",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_n_propyl_acrylate_3M_total",NA,"Yes",8,0,"-1156.5972161",-1156.171114,-1156.182259,-1156.192321,-1156.074671,-1156.089556,-1156.098511,290.671,11.07,327.309,101.808,202.98,0.095058,-0.519265,205.501333333333,-154.907266666667,4.62414451280963,0.0159085168895749,0.417718564842785
"poly_n_propyl_methacrylate_3M_total","DNF","Yes",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_neopentyl_methacrylate_3M_total","DNF","Yes",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_p_methyl_styrene_3M_total","DNF","Yes",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_propylene_oxide_3M_total",NA,"Yes",9,0,"-580.6526242",-580.408223,-580.419615,-580.423903,-580.347422,-580.359149,-580.36367,145.71,8.98,190.925,55.4,127.966,0.3666,-0.627104,108.086333333333,-77.7933666666667,1.97061535188692,0.0135242286177127,0.219444916691194
"poly_sec_butyl_methacrylate_3M_total","DNF","Yes",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
