"chemical","error","Stat_Pt","Jobs","imag","HF","Gibbs_Gas","Gibbs_Water","Gibbs_Oct","Enthalpy_Gas","Enthalpy_Water","Enthalpy_Oct","Etherm","Cv","S","qp","alpha_avg","quad_avg"
"poly_2_heptyl_acrylate_1M",NA,"Yes",8,0,"-543.5954167","-543.349834","-543.352468","-543.360726","-543.288975","-543.292073","-543.300400",191.702,53.949,128.088,0.116394,112.678,-73.2765666666667
"poly_2_octyl_acrylate_1M",NA,"Yes",8,0,"-582.9091335","-582.637227","-582.639693","-582.649372","-582.572740","-582.575610","-582.585016",210.498,58.776,135.725,0.104282,123.695333333333,-80.2645
"poly_dodecyl_methacrylate_1M",NA,"Yes",8,0,"-779.4715324","-779.067239","-779.069559","-779.083298","-778.984725","-778.986049","-779.000494",304.884,82.528,173.665,0.078498,178.534666666667,-115.624766666667
"poly_isobutyl_acrylate_1M",NA,"Yes",8,0,"-425.6502821","-425.483593","-425.487196","-425.492058","-425.433478","-425.437258","-425.442250",135.454,39.236,105.477,0.100971,79.6749333333333,-53.7397333333333
"poly_n_octyl_methacrylate_1M",NA,"Yes",8,0,"-622.2179803","-621.919434","-621.921481","-621.931880","-621.851071","-621.853424","-621.863795",229.647,63.304,143.883,0.083527,134.861666666667,-89.1762666666667
"poly_vinyl_n_decyl_ether_1M",NA,"Yes",8,0,"-548.173468","-547.855214","-547.853887","-547.866105","-547.788618","-547.787449","-547.799836",240.905,61.19,140.164,0.072851,135.892666666667,-88.1568333333333
"poly_vinyl_n_hexyl_ether_1M",NA,"Yes",8,0,"-390.9186117","-390.705695","-390.705620","-390.713642","-390.653557","-390.653455","-390.661626",165.732,41.866,109.734,0.074183,91.6311666666667,-61.3364666666667
"poly_vinyl_n_octyl_ether_1M",NA,"Yes",8,0,"-469.5460417","-469.280425","-469.279455","-469.289789","-469.221082","-469.220399","-469.230715",203.323,51.525,124.897,0.069225,113.693333333333,-74.7256666666667
"poly_vinyl_n_pentyl_ether_1M",NA,"Yes",8,0,"-351.6048839","-351.418298","-351.418511","-351.425554","-351.369769","-351.369949","-351.377070",146.944,37.033,102.136,0.066969,80.6417333333333,-54.6448
"poly_vinyl_nbutyl_ether_1M",NA,"Yes",8,0,"-312.2906452","-312.130641","-312.131469","-312.137492","-312.085471","-312.086248","-312.092241",128.156,32.31,95.069,0.077157,70.1444666666667,-44.6538333333333
