"chemical","error","Stat_Pt","Jobs","imag","HF","Gibbs_Gas","Gibbs_Water","Gibbs_Oct","Enthalpy_Gas","Enthalpy_Water","Enthalpy_Oct","Etherm","Cv","S","qp","alpha_avg","quad_avg"
"poly_2_5_dimethyl_p_xylylene_1M",NA,"Yes",8,0,"-389.5193313","-389.342822","-389.341992","-389.350381","-389.295462","-389.294697","-389.302940",139.888,40.804,99.678,0.140659,103.677533333333,-59.7214666666667
"poly_333_trifluoro_propylene_1M",NA,"Yes",8,0,"-416.8698988","-416.818158","-416.816846","-416.821748","-416.781168","-416.779822","-416.784735",55.087,21.18,77.851,0.05415,33.2515666666667,-36.7880666666667
"poly_4_methyl_1_pentene_1M",NA,"Yes",8,0,"-237.0847396","-236.927169","-236.923399","-236.931010","-236.885738","-236.881934","-236.889529",124.283,29.716,87.2,0.064367,65.1181333333333,-41.6648333333333
"poly_aaaa_tetrafluoro_p_xylylene_1M",NA,"Yes",8,0,"-707.8200247","-707.730317","-707.732497","-707.739044","-707.681547","-707.683498","-707.690294",86.303,36.859,102.644,0.105901,79.4943,-67.4367333333333
"poly_bromo_p_xylylene_1M","602","Yes",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_chloro_p_xylylene_1M",NA,"Yes",8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_cyano_p_xylylene_1M",NA,"Yes",8,0,"-403.1295947","-403.011862","-403.013711","-403.019292","-402.964270","-402.967974","-402.973649",103.15,35.228,100.166,0.128348,95.6309666666667,-56.7593333333333
"poly_decamethylene_sebacamide_1M",NA,"Yes",8,0,"-1046.2013577","-1045.685650","-1045.706908","-1045.717321","-1045.581721","-1045.605068","-1045.615824",388.235,108.028,218.738,0.358622,236.34,-162.7495
"poly_ethyl_p_xylylene_1M",NA,"Yes",8,0,"-389.5140214","-389.337809","-389.337033","-389.345365","-389.289412","-389.288611","-389.297010",140.352,39.729,101.861,0.128457,102.503933333333,-60.0134666666667
"poly_ethylene_succinate_1M",NA,"Yes",8,0,"-535.5438579","-535.419021","-535.435421","-535.434553","-535.369208","-535.385843","-535.384668",109.002,37.53,104.842,0.387433,73.0499666666667,-61.2322666666667
"poly_hexamethylene_sebacamide_1M",NA,"Yes",8,0,"-888.9440765","-888.528751","-888.551514","-888.558850","-888.443858","-888.466845","-888.473678",313.299,88.614,178.672,0.330815,189.684333333333,-144.2382
"poly_methyl_p_xylylene_1M",NA,"Yes",8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_p_xylylene_1M",NA,"Yes",8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_vinyl_butyral_1M",NA,"Yes",8,0,"-464.9296722","-464.729471","-464.735352","-464.740059","-464.681498","-464.687409","-464.692176",155.139,40.652,100.968,0.098719,89.4942,-65.3719666666667
"poly_vinyl_formal_1M",NA,"Yes",8,0,"-461.4965907","-461.345761","-461.360965","-461.360681","-461.301475","-461.317143","-461.316904",121.845,33.422,93.209,0.399772,70.6116,-58.7920333333333
"poly_vinyl_formate_1M",NA,"Yes",8,0,"-268.3818222","-268.319419","-268.322884","-268.323609","-268.283952","-268.287474","-268.288167",60.822,18.306,74.645,0.089954,37.2339,-31.2931666666667
