"chemical","error","Stat_Pt","Jobs","imag","HF","Gibbs_Gas","Gibbs_Water","Gibbs_Oct","Enthalpy_Gas","Enthalpy_Water","Enthalpy_Oct","Etherm","Cv","S","qp","alpha_avg","quad_avg"
"poly_2_3_3_3_tetrafluoropropylene_2M",NA,"Yes",8,0,"-1030.9896983","-1030.903405","-1030.901655","-1030.909191","-1030.847180","-1030.845273","-1030.852769",88.839,48.577,118.334,0.126243,64.7534333333333,-77.1391333333333
"poly_3_cyclopentyl_1_propene_2M",NA,"Yes",8,0,"-627.7924678","-627.409029","-627.403576","-627.419593","-627.338594","-627.334049","-627.349964",284.217,67.871,148.242,0.063572,164.822,-104.745066666667
"poly_3_methyl_1_butene_2M",NA,"Yes",8,0,"-394.3337574","-394.070267","-394.064838","-394.075591","-394.015567","-394.010319","-394.021165",199.075,50.149,115.127,0.078972,107.4457,-68.3613
"poly_4_cyclohexyl_1_butene_2M",NA,"Yes",8,0,"-785.0560082","-784.557430","-784.552282","-784.571606","-784.481062","-784.476008","-784.494988",360.192,85.622,160.73,0.063587,207.040666666667,-131.528133333333
"poly_ethyl_methacrylate_2M",NA,"Yes",8,0,"-771.4561317","-771.170956","-771.179903","-771.185625","-771.101997","-771.111540","-771.117093",221.631,69.329,145.136,0.085539,136.152666666667,-89.6159333333333
"poly_heptafluoropropyl_ethylene_2M",NA,"Yes",8,0,"-1783.6504365","-1783.513325","-1783.503335","-1783.515275","-1783.432107","-1783.423977","-1783.435877",136.411,84.03,170.937,0.097883,108.250733333333,-136.5011
"poly_hexafluoropropylene_2M",NA,"Yes",8,0,"-1427.8977195","-1427.847039","-1427.842134","-1427.849718","-1427.784038","-1427.779402","-1427.787072",70.744,58.266,132.597,0.155839,66.1048,-96.6154333333333
"poly_isobutyl_methacrylate_2M",NA,"Yes",8,0,"-928.7175424","-928.325775","-928.333926","-928.343656","-928.244445","-928.252276","-928.262312",296.28,89.749,171.172,0.0914,179.073,-117.329066666667
"poly_isopropyl_methacrylate_2M",NA,"Yes",8,0,"-850.0984213","-849.760939","-849.768342","-849.776303","-849.685707","-849.693318","-849.701525",258.39,80.712,158.339,0.103465,157.308666666667,-100.911566666667
"poly_n_butyl_acrylamide_2M",NA,"Yes",8,0,"-810.3604778","-810.001991","-810.024830","-810.030366","-809.920169","-809.944151","-809.949194",275.705,80.287,172.209,0.330285,168.301666666667,-105.869333333333
"poly_n_propyl_methacrylate_2M","DNF","Yes",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_neopentyl_methacrylate_2M",NA,"Yes",8,0,"-1007.3498629","-1006.907313","-1006.914190","-1006.925315","-1006.818693","-1006.825156","-1006.837012",332.722,101.849,186.517,0.095141,200.046666666667,-127.3534
"poly_sec_butyl_methacrylate_2M",NA,"Yes",8,0,"-928.7230331","-928.332952","-928.341515","-928.351379","-928.250364","-928.260177","-928.270085",296.012,90.454,173.821,0.119326,178.089,-117.2301
"poly_vinyl_chloroacetate_2M",NA,"Yes",8,0,"-1533.3857561","-1533.233398","-1533.248898","-1533.252353","-1533.166885","-1533.183893","-1533.188003",136.751,53.973,139.988,0.159046,113.314333333333,-99.0868
"poly_vinyl_trifluoroacetate_2M",NA,"Yes",8,0,"-1209.6177094","-1209.497031","-1209.500897","-1209.504613","-1209.425709","-1209.429979","-1209.434747",119.89,62.274,150.11,0.121948,96.0659333333333,-108.542933333333
