"chemical","error","Stat_Pt","Jobs","imag","HF","Gibbs_Gas","Gibbs_Water","Gibbs_Oct","Enthalpy_Gas","Enthalpy_Water","Enthalpy_Oct","Volume","Radius","Etherm","Cv","S","qp","qm","alpha_avg","quad_avg","log_Kow","kow_vol","kow_rad"
"poly_2_4_dichlorostyrene_2M",NA,"Yes",8,"0","-2458.9325532",-2458.726158,-2458.728594,-2458.744033,-2458.654662,-2458.657117,-2458.672067,222.77,10.21,173.787,71.545,150.478,0.143618,-0.240071,205.271333333333,-149.911666666667,7.09522631006232,0.0318500081252517,0.694929119496799
"poly_2_4_dimethylstyrene_2M","DNF","Yes",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_2_5_dichlorostyrene_2M",NA,"Yes",8,"0","-2458.9340026",-2458.727695,-2458.731049,-2458.745955,-2458.656129,-2458.659633,-2458.674418,219.721,10.16,173.776,71.551,150.622,0.117225,-0.343312,203.176666666667,-146.799566666667,6.85027808656078,0.0311771659812252,0.674239969149683
"poly_2_5_dimethylstyrene_2M","999","Yes",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_2_fluoro_5_methyl_styrene_2M",NA,"Yes",8,"0","-897.6596299",-897.377865,-897.374174,-897.390136,-897.303938,-897.304099,-897.316845,224.953,10.24,222.607,74.239,155.591,0.15102,-0.297591,184.445333333333,-111.543333333333,7.33557888220631,0.0326093845479114,0.71636512521546
"poly_2_methyl_4_chloro_styrene_2M",NA,"Yes",8,"0","-1618.3785178",-1618.097357,-1618.099349,-1618.113824,-1618.024793,-1618.027714,-1618.042143,223.502,10.22,221.373,75.679,152.724,0.121205,-0.334586,205.316333333333,-147.133466666667,6.65220550807656,0.0297635166937055,0.650900734645456
"poly_3_4_dichlorostyrene_2M",NA,"Yes",8,"0","-2458.9300077",-2458.725396,-2458.729469,-2458.744541,-2458.652369,-2458.656626,-2458.671802,215.479,10.1,173.628,71.566,153.699,0.150622,-0.255367,209.262666666667,-147.948466666667,6.92656590114415,0.032144969584712,0.685798604073679
"poly_3_4_dimethylstyrene_2M",NA,"Yes",8,"0","-777.826022",-777.471144,-777.471438,-777.486601,-777.397,-777.397313,-777.412137,248.65,10.55,268.623,79.922,156.051,0.13129,-0.278406,209.961666666667,-117.2557,6.96838632944873,0.0280248796680021,0.660510552554382
"poly_3_fluoro_4_chloro_styrene_2M",NA,"Yes",8,"0","-1738.2073207",-1737.997992,-1738.000008,-1738.013648,-1737.927408,-1737.929679,-1737.943336,214.952,10.1,175.055,69.772,148.555,0.158802,-0.367034,186.890666666667,-132.308733333333,6.26846861010789,0.0291621785799057,0.620640456446325
"poly_3_methyl_4_chloro_styrene_2M",NA,"Yes",8,"0","-1618.3847728",-1618.104864,-1618.106457,-1618.121362,-1618.031266,-1618.033256,-1618.048386,246.656,10.53,221.236,75.833,154.899,0.150361,-0.335135,209.600333333333,-131.796733333333,6.84981852146682,0.0277707354431549,0.650505082760382
"poly_a_p_dimethyl_styrene_2M",NA,"Yes",8,"0","-777.8072229",-777.453246,-777.451677,-777.465853,-777.377984,-777.377871,-777.392078,221.066,10.18,268.759,79.537,158.4,0.113605,-0.247523,206.937,-117.9598,6.51479552904804,0.0294699118319779,0.639960268079375
"poly_alpha_methylstyrene_2M",NA,"Yes",8,"0","-699.1712804",-698.864533,-698.866011,-698.878355,-698.80082,-698.802128,-698.814413,197.844,9.85,231.875,67.446,134.097,0.107233,-0.291473,179.306,-107.007233333333,5.67287217911213,0.0286734608030172,0.575926109554531
"poly_m_hydroxymethyl_styrene_2M",NA,"Yes",8,"0","-849.5992667",-849.289775,-849.305621,-849.31412,-849.216863,-849.233534,-849.241901,237.975,10.41,239.37,74.902,153.457,0.361064,-0.575113,191.194,-124.122466666667,3.90584418746387,0.0164128340685529,0.375201170745809
"poly_o_chlorostyrene_2M",NA,"Yes",8,"0","-1539.7450006",-1539.515527,-1539.519189,-1539.532468,-1539.450269,-1539.453106,-1539.466226,204.706,9.95,184.354,63.885,137.347,0.116748,-0.187881,179.968666666667,-118.2075,6.10256559185796,0.0298113665054173,0.613323175061102
"poly_o_methylstyrene_2M","999","Yes",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_p_bromo_styrene_2M","602","Yes",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_p_chlorostyrene_2M",NA,"Yes",8,"0","-1539.7479489",-1539.520029,-1539.523525,-1539.537017,-1539.453494,-1539.457062,-1539.470533,192.055,9.76,184.181,64.011,140.035,0.141653,-0.252401,185.212333333333,-122.474066666667,6.20045296826068,0.032284777632765,0.635292312321791
"poly_p_hydroxy_methyl_styrene_2M",NA,"Yes",8,"0","-849.5992189",-849.289796,-849.305597,-849.31419,-849.216817,-849.233453,-849.241843,216.862,10.12,239.368,74.874,153.596,0.358286,-0.584319,193.653333333333,-116.553666666667,3.94904331131156,0.01820993678612,0.390221671078217
"poly_p_phenyl_styrene_2M",NA,"Yes",8,"0","-1082.6717361",-1082.271534,-1082.27574,-1082.293407,-1082.189082,-1082.193643,-1082.211174,300.3,11.18,302.278,94.556,173.535,0.121767,-0.232075,302.223,-158.474833333333,8.11913745841755,0.0270367547732852,0.726219808445219
"poly_p_tert_butylstyrene_2M",NA,"Yes",8,"0","-935.0652609",-934.601096,-934.599574,-934.617706,-934.516883,-934.515378,-934.533131,308.2,11.27,343.52,100.026,177.24,0.116886,-0.272642,253.672,-145.049266666667,8.33283525202945,0.0270371033485706,0.739382009940501
