"chemical","error","Stat_Pt","Jobs","imag","HF","Gibbs","Enthalpy","Etherm","Cv","S","qp","alpha_avg","quad_avg"
"Nylon_66_1M_Octanol",NA,"Yes",4,0,"-731.7192338","-731.413562","-731.339463",237.717,69.184,155.955,0.390655,185.878666666667,-98.3022333333333
"PBS_1M_Octanol",NA,"Yes",4,0,"-574.8671894","-574.717662","-574.662797",127.666,43.098,115.472,0.4389,105.755333333333,-53.0675666666667
"PE_2M_Octanol",NA,"Yes",4,0,"-79.8310974","-79.779188","-79.751674",49.246,9.994,57.907,0.013093,28.6815666666667,-14.8532666666667
"PET_1M_Octanol",NA,"Yes",4,0,"-688.0260477","-687.879320","-687.825048",125.536,47.411,114.225,0.434954,152.175666666667,-80.7671333333333
"Ploy_1_Butene_1M_Octanol",NA,"Yes",4,0,"-157.2235114","-157.142207","-157.108541",71.553,17.664,70.856,0.160837,54.8035333333333,-26.9309333333333
"Poly_12_Butadiene_1M_Octanol",NA,"Yes",4,0,"-157.2234933","-157.142200","-157.108510",71.561,17.658,70.907,0.15921,54.7640333333333,-26.9326333333333
"poly_acrylonitrile_1M_Octanol",NA,"Yes",4,0,"-172.0759101","-172.027833","-171.995591",49.809,14.857,67.858,0.057733,41.7916666666667,-31.8551333333333
"poly_butyl_acrylate_1M_Octanol",NA,"Yes",4,0,"-425.658085","-425.491643","-425.441232",135.485,38.649,106.098,0.067396,101.6488,-51.2120333333333
"Poly_Chloroprene_1M_Octanol",NA,"Yes",4,0,"-616.8314567","-616.762333","-616.724824",66.32,21.653,78.943,-Inf,67.4506,-38.5016333333333
"poly_ethyl_acrylate_1M_Octanol",NA,"Yes",4,0,"-347.0290836","-346.915592","-346.872157",97.88,29.008,91.416,0.086877,73.6855,-41.0663
"poly_heptene_1M_Octanol",NA,"Yes",4,0,"-276.4037176","-276.220464","-276.174920",142.98,34.043,95.856,0.058651,98.7719,-48.2638666666667
"poly_hexene_1M_Octanol",NA,"Yes",4,0,"-237.0892868","-236.932332","-236.890386",124.219,29.206,88.283,0.048466,84.7774666666667,-41.6107
"poly_isobutylene_1M_Octanol",NA,"Yes",4,0,"-158.4608407","-158.356416","-158.322185",86.416,20.05,72.046,0.068608,56.9833333333333,-28.2361666666667
"Poly_Isoprene_1M_Octanol",NA,"Yes",4,0,"-196.5466526","-196.439867","-196.402293",89.994,23.669,79.081,0.134658,71.3803666666667,-32.4075333333333
"poly_methyl_acrylate_1M_Octanol",NA,"Yes",4,0,"-307.7091914","-307.622094","-307.582044",79.194,24.193,84.293,0.078663,59.5924666666667,-33.7510666666667
"poly_methyl_methacrylate_1M_Octanol",NA,"Yes",4,0,"-347.0231168","-346.909027","-346.866130",97.918,29.498,90.285,0.092257,73.7749,-41.6308666666667
"poly_n_heptyl_acrylate_1M_Octanol",NA,"Yes",4,0,"-543.601471","-543.356253","-543.295012",191.713,53.187,128.891,0.068635,143.824333333333,-71.7292333333333
"poly_n_hexyl_acrylate_1M_Octanol",NA,"Yes",4,0,"-504.2870344","-504.068015","-504.010437",172.975,48.336,121.184,0.069685,129.767,-65.0227666666667
"poly_n_nonyl_acrylate_1M_Octanol",NA,"Yes",4,0,"-622.2303341","-621.932680","-621.864159",229.186,62.88,144.214,0.069057,171.819666666667,-85.6639333333333
"poly_n_octyl_acrylate_1M_Octanol",NA,"Yes",4,0,"-582.9159116","-582.644350","-582.579557",210.473,58.021,136.368,0.068208,157.865333333333,-79.0243
"poly_n_propyl_acrylate_1M_Octanol",NA,"Yes",4,0,"-386.3437227","-386.203519","-386.156791",116.709,33.829,98.346,0.079718,87.6188,-45.9884666666667
"poly_pentadiene_1M_Octanol",NA,"Yes",4,0,"-196.5439338","-196.436669","-196.399231",90.21,22.959,78.796,0.144683,70.5780333333333,-32.3085
"poly_pentene_1M_Octanol",NA,"Yes",4,0,"-197.7748474","-197.644146","-197.605820",105.474,24.363,80.665,0.04571,70.7106666666667,-34.8748666666667
"Poly_pmethyl_Styrene_1M_Octanol",NA,"Yes",4,0,"-350.2051545","-350.055630","-350.010345",121.652,33.867,95.311,0.129697,122.3851,-52.3339666666667
"Poly_propylene_oxdie_1M_Octanol",NA,"Yes",4,0,"-194.3616866","-194.280675","-194.246990",71.381,18.809,70.897,0.431539,46.5875333333333,-24.4161333333333
"poly_tert_butyl_acrylate_1M_Octanol","502","Yes",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_vinyl_acetate_1M_Octanol",NA,"Yes",4,0,"-307.7135512","-307.627002","-307.586591",79.076,24.175,85.052,0.147653,60.0504333333333,-39.4565666666667
"poly_vinyl_ethyl_ether_1M_Octanol",NA,"Yes",4,0,"-233.6682337","-233.561097","-233.523206",90.414,22.682,79.748,0.070686,60.8097333333333,-30.6594666666667
"PP_1M_Octanol",NA,"Yes",4,0,"-119.1458835","-119.067671","-119.036596",67.986,14.674,65.402,0.051247,42.7144333333333,-21.5004666666667
"PS_1M_Octanol",NA,"Yes",4,0,"-310.8870355","-310.761930","-310.721548",103.253,27.828,84.993,0.12232,105.503466666667,-47.2068666666667
"PVC_1M_Octanol",NA,"Yes",4,0,"-539.4323439","-539.391560","-539.360351",44.583,12.485,65.683,-Inf,38.4230666666667,-29.6960333333333
