"chemical","error","Stat_Pt","Jobs","imag","HF","Gibbs","Enthalpy","Etherm","Cv","S","qp","alpha_avg","quad_avg"
"Nylon_66_1M_Water",NA,"Yes",4,0,"-731.7167369","-731.410894","-731.336990",237.702,69.203,155.544,0.397538,195.507333333333,-98.5450666666667
"PBS_1M_Water",NA,"Yes",4,0,"-574.8676591","-574.718492","-574.663412",127.574,43.168,115.926,0.451641,110.965666666667,-51.9058666666667
"PE_2M_Water",NA,"Yes",4,0,"-79.8273607","-79.775491","-79.747971",49.225,10.016,57.919,0.013177,29.7372,-14.8457333333333
"PET_1M_Water",NA,"Yes",4,0,"-688.0255001","-687.879299","-687.824833",125.328,47.517,114.634,0.452059,161.093633333333,-80.9530333333333
"Ploy_1_Butene_1M_Water",NA,"Yes",4,0,"-157.2185801","-157.137292","-157.103634",71.538,17.684,70.84,0.163513,57.1821,-26.94
"Poly_12_Butadiene_1M_Water",NA,"Yes",4,0,"-157.2185636","-157.137278","-157.103595",71.551,17.675,70.892,0.161885,57.1503,-26.9417
"poly_acrylonitrile_1M_Water",NA,"Yes",4,0,"-172.0734029","-172.025479","-171.993223",49.721,14.881,67.89,0.060593,43.3339,-32.0437
"poly_butyl_acrylate_1M_Water",NA,"Yes",4,0,"-425.6527644","-425.486458","-425.436112",135.359,38.731,105.963,0.072506,106.590266666667,-50.674
"Poly_Chloroprene_1M_Water",NA,"Yes",4,0,"-616.8256991","-616.756551","-616.719068",66.319,21.66,78.889,-Inf,70.1266,-38.5154
"poly_ethyl_acrylate_1M_Water",NA,"Yes",4,0,"-347.0259244","-346.912488","-346.869170",97.773,29.082,91.172,0.092966,77.0973,-40.9673666666667
"poly_heptene_1M_Water",NA,"Yes",4,0,"-276.3946058","-276.211440","-276.165901",142.922,34.089,95.843,0.05862,103.754,-48.2652666666667
"poly_hexene_1M_Water",NA,"Yes",4,0,"-237.081239","-236.924368","-236.882422",124.167,29.248,88.282,0.048891,88.9577333333333,-41.6106666666667
"poly_isobutylene_1M_Water",NA,"Yes",4,0,"-158.4551089","-158.350742","-158.316514",86.377,20.077,72.04,0.069935,59.681,-28.232
"Poly_Isoprene_1M_Water",NA,"Yes",4,0,"-196.5408399","-196.434040","-196.396522",89.968,23.68,78.963,0.137162,74.6684,-32.3679333333333
"poly_methyl_acrylate_1M_Water",NA,"Yes",4,0,"-307.7073282","-307.620427","-307.580328",79.101,24.255,84.395,0.084181,62.2264333333333,-33.5560333333333
"poly_methyl_methacrylate_1M_Water",NA,"Yes",4,0,"-347.0202525","-346.906368","-346.863423",97.82,29.558,90.385,0.097009,77.3221333333333,-41.4948
"poly_n_heptyl_acrylate_1M_Water",NA,"Yes",4,0,"-543.5929704","-543.347931","-543.286753",191.562,53.291,128.76,0.073028,151.147333333333,-71.3139
"poly_n_hexyl_acrylate_1M_Water",NA,"Yes",4,0,"-504.2796003","-504.060736","-504.003229",172.833,48.432,121.034,0.074266,136.294666666667,-64.5839666666667
"poly_n_nonyl_acrylate_1M_Water",NA,"Yes",4,0,"-622.2197123","-621.922219","-621.853783",229.032,62.985,144.037,0.071874,180.824333333333,-85.3357333333333
"poly_n_octyl_acrylate_1M_Water",NA,"Yes",4,0,"-582.9063579","-582.634934","-582.570232",210.33,58.116,136.177,0.072267,165.977,-78.6895
"poly_n_propyl_acrylate_1M_Water",NA,"Yes",4,0,"-386.3394839","-386.199380","-386.152701",116.615,33.881,98.245,0.078345,91.7919666666667,-45.5213666666667
"poly_pentadiene_1M_Water",NA,"Yes",4,0,"-196.5377682","-196.430537","-196.393104",90.186,22.987,78.784,0.1479,73.7029,-32.2682
"poly_pentene_1M_Water",NA,"Yes",4,0,"-197.7678626","-197.637234","-197.598905",105.43,24.399,80.669,0.04664,74.0989333333333,-34.8728666666667
"Poly_pmethyl_Styrene_1M_Water",NA,"Yes",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Poly_propylene_oxdie_1M_Water",NA,"Yes",4,0,"-194.3598271","-194.278937","-194.245214",71.328,18.87,70.975,0.444587,48.5420666666667,-24.1928666666667
"poly_tert_butyl_acrylate_1M_Water",NA,"Yes",4,0,"-425.6563073","-425.490615","-425.441487",134.209,40.774,103.398,0.101409,107.744366666667,-55.6550333333333
"poly_vinyl_acetate_1M_Water",NA,"Yes",4,0,"-307.7115526","-307.624727","-307.584747",78.979,24.232,84.146,0.155755,62.7732333333333,-39.6446666666667
"poly_vinyl_ethyl_ether_1M_Water",NA,"Yes",4,0,"-233.6643905","-233.557139","-233.519343",90.426,22.708,79.548,0.070615,63.2338666666667,-30.3776
"PP_1M_Water",NA,"Yes",4,0,"-119.1410275","-119.062867","-119.031788",67.956,14.7,65.41,0.052033,44.5177,-21.4942333333333
"PS_1M_Water",NA,"Yes",4,0,"-310.8802003","-310.755317","-310.714714",103.252,27.849,85.456,0.126654,111.033166666667,-47.1257666666667
"PVC_1M_Water",NA,"Yes",4,0,"-539.4280043","-539.387260","-539.356037",44.568,12.516,65.714,-Inf,39.6926666666667,-29.7899333333333
