SMILES,Density,Tg,Tm
*CC(*)C#N,1.18,95.0,311.0
*N=P(*)(Oc1cccc(Br)c1)Oc1cccc(Br)c1,2.05,-2.5,320.0
*Oc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(*)cc3)cc2)cc1,1.37,240.5,516.0
*CCN(*)C(=O)CCCC,1.0475,13.0,172.0
*N=P(*)(Oc1cccc(Cl)c1)Oc1cccc(Cl)c1,1.604,-24.0,370.0
*CCCCCCCCCCCCCCCCCCNC(=O)Cc1ccc(CC(=O)N*)cc1,1.036,78.0,225.0
*CC(COCCCCCC)O*,0.966,-85.5,44.0
*CC(CCCC)O*,0.9475,-69.0,71.5
*Nc1cccc(NC(=O)c2cccc(C(*)=O)c2)c1,1.38,275.0,435.0
*CC(*)O,1.3,76.5,226.3
*CCOCCOC(=O)CCCCCCCCC(=O)O*,1.128,-74.5,46.5
*OC(C)C(*)=O,1.256,58.4,165.6
*CCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,1.32,40.0,333.0
*CCCCCOC(=O)NCCCCCCNC(=O)O*,1.245,33.0,159.0
*CCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)N*,1.01,46.5,169.5
*CCC(F)(F)C(*)(F)F,1.7585,-108.0,271.0
*CC(C[N-][N+]#N)(C[N-][N+]#N)CO*,1.29,-30.0,87.5
*CCCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,1.329,88.0,206.0
*CC(*)OCCCCCCCCCC,0.8815,-62.0,7.0
*Oc1ccc(OC(=O)CCCCCCCCC(*)=O)cc1,1.1888,52.8,174.5
*CC(*)(F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.8192,87.5,126.0
*CCCCCOC(=O)c1ccc(C(=O)O*)cc1,1.2995,16.0,134.0
*Cc1ccc(CNC(=O)CCCCCCCCCCC(=O)N*)cc1,1.129,105.0,270.0
*c1cnc(C2C(c3ccccc3)C(*)C2c2ccccc2)cn1,1.257,150.0,330.0
*CC(*)C,0.9031,-3.0,164.0
*CC(*)OC(=O)C(F)(F)F,1.55,55.0,148.0
*Oc1ccc(Cc2ccc(OC(*)=O)cc2)cc1,1.2915,133.5,300.0
*/C=C/C(C)C*,1.015,-35.0,53.0
*CC(*)c1ccccc1,1.048,99.9,255.0
*CC(C)/C=C(/*)C,0.88,2.3,170.0
*CC(C)(C)CS*,1.098,-49.3,12.0
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(*)=O)c(C)c2)cc1C,1.0824,193.0,283.0
*CC(CS(=O)(=O)CCC)O*,1.292,43.0,183.0
*C(=O)NCCCCCCNC(=O)c1ccc(*)nc1,1.266,80.0,272.0
*N=P(*)(OCC(F)(F)F)OCC(F)(F)F,1.48,-66.0,240.0
*CCCCCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,1.284,51.0,210.0
*CC(CS(=O)(=O)CCCC)O*,1.265,37.0,176.0
*CC(*)c1cccc2ccccc12,1.12,160.0,360.0
*CC(*)C1CCCC(C)C1,0.9237,141.0,355.0
*CC(*)(Cl)Cl,1.8715,-16.5,200.0
*Oc1ccc(*)cc1,1.4165,85.0,262.0
*CCCCOC(=O)NCCCCCCNC(=O)O*,1.23,33.5,180.0
*CCOC(=O)NCCCCCCCCCCNC(=O)O*,1.175,60.8,174.0
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)CCCC2)cc1,1.21,166.0,245.0
*c1ccc2c(c1)C(CCCCCCCC)(CCCCCCCC)c1cc(*)ccc1-2,0.88,55.0,162.7
*Oc1c(Cl)cc(C2(c3cc(Cl)c(OC(*)=O)c(Cl)c3)CCCCC2)cc1Cl,1.38,163.0,270.0
*CCCCCCCCNC(=O)C(OC)C(OC)C(=O)N*,1.18,89.0,208.1
*Oc1cc(C(=O)c2ccccc2)c(Oc2ccc(*)cc2)cc1C(=O)c1ccccc1,1.294,137.0,337.0
*CCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)N*,1.04,47.0,195.5
*CCOC(=O)CCC(=O)O*,1.384,-11.1,103.0
*CC(c1ccccc1)C1C(=O)OC(=O)C1*,1.286,212.0,330.3
