,Tg (K),CANON SMILES,Sources
0,438.0,C=CC(=N)O,['https://www.polymerdatabase.com/polymers/polyacrylamide.html']
1,355.5007735575269,C=CC(=O)NC(C)C,"['https://www.polymerdatabase.com/polymers/polyn-isopropylacrylamide.html', '10.1021/ma300355k']"
2,220.0,C=CC(=O)NCCCCCCCC,['https://www.polymerdatabase.com/polymers/polyn-octylacrylamide.html']
3,401.0,C=CC(=O)NC(C)(C)C,['https://www.polymerdatabase.com/polymers/polyn-tert-butylacrylamide.html']
5,390.0,C=CC(=O)NC(C)CC,['https://www.polymerdatabase.com/polymers/polyn-sec-butylacrylamide.html']
6,377.49434966406244,C=CC(=O)O,"['https://www.polymerdatabase.com/polymers/polyacrylicacid.html', 'https://anl.app.box.com/file/972215335424', '10.1021/acs.macromol.5b02178', '10.1021/ma070893g']"
7,282.0,C=CC(=O)OCc1ccccc1,['https://www.polymerdatabase.com/polymers/polybenzylacrylate.html']
8,219.24957305449024,C=CC(=O)OCCCC,"['https://www.polymerdatabase.com/polymers/polybutylacrylate.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
9,331.0,C=CC(=O)Oc1ccc(Cl)cc1,['https://www.polymerdatabase.com/polymers/poly4-chlorophenylacrylate.html']
10,277.0,C=CC(=O)OCCC#N,['https://www.polymerdatabase.com/polymers/poly2-cyanoethylacrylate.html']
11,296.0,C=CC(=O)OCC#N,['https://www.polymerdatabase.com/polymers/polycyanomethylacrylate.html']
12,289.0,C=CC(=O)OC1CCCCC1,['https://www.polymerdatabase.com/polymers/polycyclohexylacrylate.html']
13,250.79968051087656,C=CC(=O)OCC,"['https://www.polymerdatabase.com/polymers/polyethylacrylate.html', 'https://anl.app.box.com/file/972215335424', '10.1021/ma300644v', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
14,221.0,C=CC(=O)OCC(CC)CCCC,['https://www.polymerdatabase.com/polymers/poly2-ethylhexylacrylate.html']
15,215.66615093622326,C=CC(=O)OCCCCCC,"['https://www.polymerdatabase.com/polymers/polyhexylacrylate.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
16,245.96311166092167,C=CC(=O)OCC(C)C,"['https://www.polymerdatabase.com/polymers/polyisobutylacrylate.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
17,271.0,C=CC(=O)OC(C)C,['https://www.polymerdatabase.com/polymers/polyisopropylacrylate.html']
18,280.74966567581896,C=CC(=O)OC,"['https://www.polymerdatabase.com/polymers/polymethylacrylate.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
19,207.99999999999994,C=CC(=O)OCCCCCCCC,"['https://www.polymerdatabase.com/polymers/polyoctylacrylate.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
20,229.99782607668274,C=CC(=O)OCCC,"['https://www.polymerdatabase.com/polymers/polypropylacrylate.html', 'https://anl.app.box.com/file/972215335424']"
21,252.99999999999991,C=CC(=O)OC(C)CC,"['https://www.polymerdatabase.com/polymers/polysec-butylacrylate.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
22,311.0,C=CC(=O)OCCCCCCCCCCCCCCCCCCCCCCCCCC,['https://www.polymerdatabase.com/polymers/polystearylacrylate.html']
23,312.9936101584184,C=CC(=O)OC(C)(C)C,"['https://www.polymerdatabase.com/polymers/polytert-butylacrylate.html', 'https://anl.app.box.com/file/972215335424']"
24,249.0,C=CC(=O)OCC(F)(F)C(F)F,['https://www.polymerdatabase.com/polymers/Polytetrafluoropropyl%20acrylate.html']
25,382.9514612314859,C=CC#N,"['https://www.polymerdatabase.com/polymers/polyacrylonitrile.html', 'https://anl.app.box.com/file/972215335424', '10.1021/ma901336q', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
26,391.326214810206,C=C(C)C#N,"['https://www.polymerdatabase.com/polymers/polymethacrylonitrile.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
27,202.0,O=C(O)CCCCC(=O)O.OCCCCO,"['https://www.polymerdatabase.com/polymers/polybutyleneadipate.html', 'https://www.polymerdatabase.com/polymers/polybutyleneadipate.html']"
28,230.0,O=C(O)CCCCC(=O)O.OCCO,"['https://www.polymerdatabase.com/polymers/polyethyleneadipate.html', 'https://www.polymerdatabase.com/polymers/polyethyleneadipate.html']"
29,215.0,O=C(O)CCCCC(=O)O.OCCCO,"['https://www.polymerdatabase.com/polymers/polypropyleneadipate.html', 'https://www.polymerdatabase.com/polymers/polypropyleneadipate.html']"
30,233.53138739907902,C=CCC,"['https://www.polymerdatabase.com/polymers/polybutylene.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
31,222.99999999999994,C=CCCCC,"['https://www.polymerdatabase.com/polymers/polybutylethylene.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
